,game,arena,stage,agent,human_data_type,alpha,TV
14,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,early,expert,should,0.5,0.6022099449489362
15,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,early,random,should,0.5,0.6502415458937205
16,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,intermediate,ours,should,0.5,0.4029015674707708
17,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,intermediate,ours-depth3,should,0.5,0.42132280591912324
18,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,intermediate,expert,should,0.5,0.6275985663082438
19,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,intermediate,random,should,0.5,0.5652329749103943
20,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,late,ours,should,0.5,0.5123330150695986
21,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,late,ours-depth3,should,0.5,0.5123330150695986
22,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,late,expert,should,0.5,0.4652777777777778
23,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPQ8A1PX4FKW8CBF7VEXAH,late,random,should,0.5,0.46527777777777773
24,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,early,ours,should,0.5,0.4534420790146891
25,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,early,ours-depth3,should,0.5,0.42469564606966226
26,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,early,expert,should,0.5,0.754684324902358
27,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,early,random,should,0.5,0.7453527435610297
28,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,intermediate,ours,should,0.5,0.5712478384068944
29,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,intermediate,ours-depth3,should,0.5,0.5844193953401147
30,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,intermediate,expert,should,0.5,0.5831499260476363
31,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,intermediate,random,should,0.5,0.6488721804511275
32,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,late,ours,should,0.5,0.5662592022398425
33,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,late,ours-depth3,should,0.5,0.5938583764334731
34,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,late,expert,should,0.5,0.6168690958164638
35,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JP0K6SCE585ZCXCPV14MYHXD,late,random,should,0.5,0.6580296896086365
36,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,early,ours,should,0.5,0.4017524766863027
37,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,early,ours-depth3,should,0.5,0.38603962772392436
38,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,early,expert,should,0.5,0.7788296632259317
39,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,early,random,should,0.5,0.6571808510638292
40,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,intermediate,ours,should,0.5,0.46964595375205404
41,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,intermediate,ours-depth3,should,0.5,0.46981425939032595
42,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,intermediate,expert,should,0.5,0.4698170731707317
43,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,intermediate,random,should,0.5,0.5091463414634148
44,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,late,ours,should,0.5,0.49265317767087335
45,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,late,ours-depth3,should,0.5,0.4987484694010135
46,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,late,expert,should,0.5,0.5993243243243245
47,"7.0*7.0*4 pieces in a row wins. However, a player cannot win by making a diagonal row. Only horizontal and vertical rows count.",01JNEPMGWSJ5MXNX1PWT5BQ5J3,late,random,should,0.5,0.4817567567567569
48,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,early,ours,should,0.5,0.21199790295046456
49,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,early,ours-depth3,should,0.5,0.12927373841849266
50,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,early,expert,should,0.5,0.12916666666666662
51,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,early,random,should,0.5,0.4833333333333333
52,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,intermediate,ours,should,0.5,0.13032446505080492
53,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,intermediate,ours-depth3,should,0.5,0.0312780815581164
54,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,intermediate,expert,should,0.5,0.031250000000000056
55,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,intermediate,random,should,0.5,0.3791666666666667
56,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,late,ours,should,0.5,0.016800554302979012
57,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,late,ours-depth3,should,0.5,0.016800554302979012
58,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,late,expert,should,0.5,0.01666666666666665
59,3.0*3.0*3 pieces in a row wins.,01JNM84H10EVHYQFQXGR8GXKBX,late,random,should,0.5,0.26666666666666666
60,3.0*3.0*3 pieces in a row wins.,01JNKQWN8KNDR8115DYGWF39E4,early,ours,should,0.5,0.19538654364756824
61,3.0*3.0*3 pieces in a row wins.,01JNKQWN8KNDR8115DYGWF39E4,early,ours-depth3,should,0.5,0.08148578381261483
62,3.0*3.0*3 pieces in a row wins.,01JNKQWN8KNDR8115DYGWF39E4,early,expert,should,0.5,0.3758644688644688
63,3.0*3.0*3 pieces in a row wins.,01JNKQWN8KNDR8115DYGWF39E4,early,random,should,0.5,0.12783882783882788
64,3.0*3.0*3 pieces in a row wins.,01JNKQWN8KNDR8115DYGWF39E4,intermediate,ours,should,0.5,0.39091708832604805
65,3.0*3.0*3 pieces in a row wins.,01JNKQWN8KNDR8115DYGWF39E4,intermediate,ours-depth3,should,0.5,0.13721039401363094
66,3.0*3.0*3 pieces in a row wins.,01JNKQWN8KNDR8115DYGWF39E4,intermediate,expert,should,0.5,0.36282051282051286
67,3.0*3.0*3 pieces in a row wins.,01JNKQWN8KNDR8115DYGWF39E4,intermediate,random,should,0.5,0.16794871794871802
68,3.0*3.0*3 pieces in a row wins.,01JNKQWN8KNDR8115DYGWF39E4,late,ours,should,0.5,0.05689078605938232
69,3.0*3.0*3 pieces in a row wins.,01JNKQWN8KNDR8115DYGWF39E4,late,ours-depth3,should,0.5,0.0568907860593823
70,3.0*3.0*3 pieces in a row wins.,01JNKQWN8KNDR8115DYGWF39E4,late,expert,should,0.5,0.2333333333333333
71,3.0*3.0*3 pieces in a row wins.,01JNKQWN8KNDR8115DYGWF39E4,late,random,should,0.5,0.23333333333333334
72,3.0*3.0*3 pieces in a row wins.,01JP0K7E3C1HNYSCGXJPQANC1R,early,ours,should,0.5,0.21361080617627107
73,3.0*3.0*3 pieces in a row wins.,01JP0K7E3C1HNYSCGXJPQANC1R,early,ours-depth3,should,0.5,0.1108597599238691
74,3.0*3.0*3 pieces in a row wins.,01JP0K7E3C1HNYSCGXJPQANC1R,early,expert,should,0.5,0.11075268817204303
75,3.0*3.0*3 pieces in a row wins.,01JP0K7E3C1HNYSCGXJPQANC1R,early,random,should,0.5,0.4849462365591398
76,3.0*3.0*3 pieces in a row wins.,01JP0K7E3C1HNYSCGXJPQANC1R,intermediate,ours,should,0.5,0.15377876612607372
77,3.0*3.0*3 pieces in a row wins.,01JP0K7E3C1HNYSCGXJPQANC1R,intermediate,ours-depth3,should,0.5,0.060511952525858295
78,3.0*3.0*3 pieces in a row wins.,01JP0K7E3C1HNYSCGXJPQANC1R,intermediate,expert,should,0.5,0.06048387096774197
79,3.0*3.0*3 pieces in a row wins.,01JP0K7E3C1HNYSCGXJPQANC1R,intermediate,random,should,0.5,0.4048387096774194
80,3.0*3.0*3 pieces in a row wins.,01JP0K7E3C1HNYSCGXJPQANC1R,late,ours,should,0.5,0.1280331230707522
81,3.0*3.0*3 pieces in a row wins.,01JP0K7E3C1HNYSCGXJPQANC1R,late,ours-depth3,should,0.5,0.24733306155025533
82,3.0*3.0*3 pieces in a row wins.,01JP0K7E3C1HNYSCGXJPQANC1R,late,expert,should,0.5,0.1213544650429875
83,3.0*3.0*3 pieces in a row wins.,01JP0K7E3C1HNYSCGXJPQANC1R,late,random,should,0.5,0.1989247311827957
84,4.0*4.0*3 pieces in a row loses.,01JP0PXFYK8HTKWWTBPK1RJ6YF,early,ours,should,0.5,0.3239918196423101
85,4.0*4.0*3 pieces in a row loses.,01JP0PXFYK8HTKWWTBPK1RJ6YF,early,ours-depth3,should,0.5,0.2705844410674302
86,4.0*4.0*3 pieces in a row loses.,01JP0PXFYK8HTKWWTBPK1RJ6YF,early,expert,should,0.5,0.2847256632155118
87,4.0*4.0*3 pieces in a row loses.,01JP0PXFYK8HTKWWTBPK1RJ6YF,early,random,should,0.5,0.2995951417004049
88,4.0*4.0*3 pieces in a row loses.,01JP0PXFYK8HTKWWTBPK1RJ6YF,intermediate,ours,should,0.5,0.21021833490963418
89,4.0*4.0*3 pieces in a row loses.,01JP0PXFYK8HTKWWTBPK1RJ6YF,intermediate,ours-depth3,should,0.5,0.2117184286811102
90,4.0*4.0*3 pieces in a row loses.,01JP0PXFYK8HTKWWTBPK1RJ6YF,intermediate,expert,should,0.5,0.4456140350877193
91,4.0*4.0*3 pieces in a row loses.,01JP0PXFYK8HTKWWTBPK1RJ6YF,intermediate,random,should,0.5,0.3192982456140351
92,4.0*4.0*3 pieces in a row loses.,01JP0PXFYK8HTKWWTBPK1RJ6YF,late,ours,should,0.5,0.27688945798607145
93,4.0*4.0*3 pieces in a row loses.,01JP0PXFYK8HTKWWTBPK1RJ6YF,late,ours-depth3,should,0.5,0.22699431313761212
94,4.0*4.0*3 pieces in a row loses.,01JP0PXFYK8HTKWWTBPK1RJ6YF,late,expert,should,0.5,0.49999999999999994
95,4.0*4.0*3 pieces in a row loses.,01JP0PXFYK8HTKWWTBPK1RJ6YF,late,random,should,0.5,0.2631578947368421
96,4.0*4.0*3 pieces in a row loses.,01JNHCPXAPTJPC0J7C5416E63M,early,ours,should,0.5,0.22333834507721362
97,4.0*4.0*3 pieces in a row loses.,01JNHCPXAPTJPC0J7C5416E63M,early,ours-depth3,should,0.5,0.24665247185692332
98,4.0*4.0*3 pieces in a row loses.,01JNHCPXAPTJPC0J7C5416E63M,early,expert,should,0.5,0.3590122265645999
99,4.0*4.0*3 pieces in a row loses.,01JNHCPXAPTJPC0J7C5416E63M,early,random,should,0.5,0.24871794871794875
100,4.0*4.0*3 pieces in a row loses.,01JNHCPXAPTJPC0J7C5416E63M,intermediate,ours,should,0.5,0.5089135314074394
101,4.0*4.0*3 pieces in a row loses.,01JNHCPXAPTJPC0J7C5416E63M,intermediate,ours-depth3,should,0.5,0.489289914012081
102,4.0*4.0*3 pieces in a row loses.,01JNHCPXAPTJPC0J7C5416E63M,intermediate,expert,should,0.5,0.4700402100437493
103,4.0*4.0*3 pieces in a row loses.,01JNHCPXAPTJPC0J7C5416E63M,intermediate,random,should,0.5,0.28888888888888886
104,4.0*4.0*3 pieces in a row loses.,01JNHCPXAPTJPC0J7C5416E63M,late,ours,should,0.5,0.5476734151770525
105,4.0*4.0*3 pieces in a row loses.,01JNHCPXAPTJPC0J7C5416E63M,late,ours-depth3,should,0.5,0.5482708931737283
106,4.0*4.0*3 pieces in a row loses.,01JNHCPXAPTJPC0J7C5416E63M,late,expert,should,0.5,0.5279504790822753
107,4.0*4.0*3 pieces in a row loses.,01JNHCPXAPTJPC0J7C5416E63M,late,random,should,0.5,0.305050505050505
108,4.0*4.0*3 pieces in a row loses.,01JNGYBV3FEH29EMKVB2T45TDY,early,ours,should,0.5,0.3126591936674399
109,4.0*4.0*3 pieces in a row loses.,01JNGYBV3FEH29EMKVB2T45TDY,early,ours-depth3,should,0.5,0.4155902828700179
110,4.0*4.0*3 pieces in a row loses.,01JNGYBV3FEH29EMKVB2T45TDY,early,expert,should,0.5,0.49354716513035235
111,4.0*4.0*3 pieces in a row loses.,01JNGYBV3FEH29EMKVB2T45TDY,early,random,should,0.5,0.2917293233082707
112,4.0*4.0*3 pieces in a row loses.,01JNGYBV3FEH29EMKVB2T45TDY,intermediate,ours,should,0.5,0.34471029261694264
113,4.0*4.0*3 pieces in a row loses.,01JNGYBV3FEH29EMKVB2T45TDY,intermediate,ours-depth3,should,0.5,0.3448619052305543
114,4.0*4.0*3 pieces in a row loses.,01JNGYBV3FEH29EMKVB2T45TDY,intermediate,expert,should,0.5,0.31973684210526315
115,4.0*4.0*3 pieces in a row loses.,01JNGYBV3FEH29EMKVB2T45TDY,intermediate,random,should,0.5,0.3197368421052632
116,4.0*4.0*3 pieces in a row loses.,01JNGYBV3FEH29EMKVB2T45TDY,late,ours,should,0.5,0.12654839143141117
117,4.0*4.0*3 pieces in a row loses.,01JNGYBV3FEH29EMKVB2T45TDY,late,ours-depth3,should,0.5,0.12654839143141117
118,4.0*4.0*3 pieces in a row loses.,01JNGYBV3FEH29EMKVB2T45TDY,late,expert,should,0.5,0.40936842105263166
119,4.0*4.0*3 pieces in a row loses.,01JNGYBV3FEH29EMKVB2T45TDY,late,random,should,0.5,0.08070175438596491
120,4.0*4.0*3 pieces in a row loses.,01JNH0JREQ0B4M5NYGS95FV36D,early,ours,should,0.5,0.34390215179228634
121,4.0*4.0*3 pieces in a row loses.,01JNH0JREQ0B4M5NYGS95FV36D,early,ours-depth3,should,0.5,0.3502472502981636
122,4.0*4.0*3 pieces in a row loses.,01JNH0JREQ0B4M5NYGS95FV36D,early,expert,should,0.5,0.43773258015072786
123,4.0*4.0*3 pieces in a row loses.,01JNH0JREQ0B4M5NYGS95FV36D,early,random,should,0.5,0.23928571428571427
124,4.0*4.0*3 pieces in a row loses.,01JNH0JREQ0B4M5NYGS95FV36D,intermediate,ours,should,0.5,0.5101774362305584
125,4.0*4.0*3 pieces in a row loses.,01JNH0JREQ0B4M5NYGS95FV36D,intermediate,ours-depth3,should,0.5,0.5074786953457311
126,4.0*4.0*3 pieces in a row loses.,01JNH0JREQ0B4M5NYGS95FV36D,intermediate,expert,should,0.5,0.4544444613605716
127,4.0*4.0*3 pieces in a row loses.,01JNH0JREQ0B4M5NYGS95FV36D,intermediate,random,should,0.5,0.2079545454545455
128,4.0*4.0*3 pieces in a row loses.,01JNH0JREQ0B4M5NYGS95FV36D,late,ours,should,0.5,0.3341201319035372
129,4.0*4.0*3 pieces in a row loses.,01JNH0JREQ0B4M5NYGS95FV36D,late,ours-depth3,should,0.5,0.25080283934340164
130,4.0*4.0*3 pieces in a row loses.,01JNH0JREQ0B4M5NYGS95FV36D,late,expert,should,0.5,0.376484495910764
131,4.0*4.0*3 pieces in a row loses.,01JNH0JREQ0B4M5NYGS95FV36D,late,random,should,0.5,0.19583333333333333
132,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JP0KMRF0YXGF0CXHVZKVTX51,early,ours,should,0.5,0.354368337825272
133,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JP0KMRF0YXGF0CXHVZKVTX51,early,ours-depth3,should,0.5,0.3697482090156406
134,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JP0KMRF0YXGF0CXHVZKVTX51,early,expert,should,0.5,0.6398256625946357
135,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JP0KMRF0YXGF0CXHVZKVTX51,early,random,should,0.5,0.5561030235162372
136,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JP0KMRF0YXGF0CXHVZKVTX51,intermediate,ours,should,0.5,0.49804701306646804
137,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JP0KMRF0YXGF0CXHVZKVTX51,intermediate,ours-depth3,should,0.5,0.49366847958754434
138,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JP0KMRF0YXGF0CXHVZKVTX51,intermediate,expert,should,0.5,0.6981124903012287
139,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JP0KMRF0YXGF0CXHVZKVTX51,intermediate,random,should,0.5,0.6095471236230113
140,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JP0KMRF0YXGF0CXHVZKVTX51,late,ours,should,0.5,0.5454619158954307
141,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JP0KMRF0YXGF0CXHVZKVTX51,late,ours-depth3,should,0.5,0.5454619158954306
142,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JP0KMRF0YXGF0CXHVZKVTX51,late,expert,should,0.5,0.6369770580296895
143,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JP0KMRF0YXGF0CXHVZKVTX51,late,random,should,0.5,0.6369770580296895
144,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JNE9C568P3QVQT9TYCWHR141,early,ours,should,0.5,0.5243225383208728
145,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JNE9C568P3QVQT9TYCWHR141,early,ours-depth3,should,0.5,0.48127196102590036
146,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JNE9C568P3QVQT9TYCWHR141,early,expert,should,0.5,0.6374283563643581
147,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JNE9C568P3QVQT9TYCWHR141,early,random,should,0.5,0.5170212765957446
148,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JNE9C568P3QVQT9TYCWHR141,intermediate,ours,should,0.5,0.36374254928234884
149,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JNE9C568P3QVQT9TYCWHR141,intermediate,ours-depth3,should,0.5,0.46609310396748765
150,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JNE9C568P3QVQT9TYCWHR141,intermediate,expert,should,0.5,0.46825258854593943
151,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JNE9C568P3QVQT9TYCWHR141,intermediate,random,should,0.5,0.5396825396825395
152,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JNE9C568P3QVQT9TYCWHR141,late,ours,should,0.5,0.3251710260728197
153,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JNE9C568P3QVQT9TYCWHR141,late,ours-depth3,should,0.5,0.3251710260728198
154,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JNE9C568P3QVQT9TYCWHR141,late,expert,should,0.5,0.6005847953216373
155,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JNE9C568P3QVQT9TYCWHR141,late,random,should,0.5,0.6005847953216373
156,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JNS5WTNNJ94HM91VYJAE7ADS,early,ours,should,0.5,0.37197363297228164
157,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JNS5WTNNJ94HM91VYJAE7ADS,early,ours-depth3,should,0.5,0.47480658749161436
158,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JNS5WTNNJ94HM91VYJAE7ADS,early,expert,should,0.5,0.5916686593774552
159,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JNS5WTNNJ94HM91VYJAE7ADS,early,random,should,0.5,0.597760358342665
160,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JNS5WTNNJ94HM91VYJAE7ADS,intermediate,ours,should,0.5,0.40201224600701047
161,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JNS5WTNNJ94HM91VYJAE7ADS,intermediate,ours-depth3,should,0.5,0.6802902162567456
162,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JNS5WTNNJ94HM91VYJAE7ADS,intermediate,expert,should,0.5,0.5105146674657312
163,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JNS5WTNNJ94HM91VYJAE7ADS,intermediate,random,should,0.5,0.6736842105263157
164,"7.0*7.0*Each player needs 4 pieces in a row to win. The first player can only win by making a diagonal row, but the second player does not have this restriction.",01JNS5WTNNJ94HM91VYJAE7ADS,late,ours,should,0.5,0.2731159444490017
